date,provider,draw_info,1st,2nd,3rd,special,consolation
3D,4913/19,26-06-2019 (Wed) Draw No: 4913/19,"1st 首獎 803473 GOAT | Bonus 1 RM 1,433,268.00 | 2nd 二獎 945987 DRAGON | Bonus 2 RM 2,419,833.30 | 3rd 三獎 099295 ROOSTER | Bonus 3 RM 234,722.10 | ",637039 515389 079027 690388 179406 343467 166355 277508 148640 651381,683449 024242 355806 177100 149457 408170 156799 675955 998332 265057,"Bonus 1 RM 1,433,268.00 | Bonus 2 RM 2,419,833.30 | Bonus 3 RM 234,722.10 | ","Bonus 1 RM 1,433,268.00 Bonus 2 RM 2,419,833.30 Bonus 3 RM 234,722.10"
Life,202/19,26-06-2019 (Wed) Draw No: 202/19,Bonus Numbers | 2nd Prize | ,,,Bonus Numbers | Grand Prize | ,Bonus Numbers Grand Prize
Jackpot,202/19,26-06-2019 (Wed) Draw No: 202/19,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 10,209,227.21 | Jackpot 2 | Prize : RM 114,687.23Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 10,209,227.21 Jackpot 2 Prize : RM 114,687.23Partially Won"
4D,4438,26-06-2019 (Wed) Draw No: 4438,1st Prize 首獎 9671 | 2nd Prize 二獎 9515 | 3rd Prize 三獎 9701 | ,1022 1540 1854 2040 2451 3658 5007 5033 6346 6379,1102 1545 2733 3896 4110 4641 8324 8947 9658 9771,,
4D,081/19,26-06-2019 (Wed) Draw No: 081/19,1st Prize 首獎 1148 | 2nd Prize 二獎 3389 | 3rd Prize 三獎 7650 | ,0745 0169 0082 7047 7535 - - 1344 5312 - 3012 5162 0626,3321 6335 7300 3217 2195 3270 7199 6290 2918 4260,,
https://www.live4d2u.net/images/cashsweep,4125,26-06-2019 (Wed) Draw No: 4125,1st Prize 首獎 4052 | 2nd Prize 二獎 3207 | 3rd Prize 三獎 0191 | ,砂勞越大萬 Date: 26-06-2019 (Wed) Draw No: 4125 1st Prize 首獎 4052 2nd Prize 二獎 3207 3rd Prize 三獎 0191 6436 1175 5850 9437 0077 8857 9622 6361 8704 1730,1051 8288 8325 8455 6294 8270 8159 9407 2436 8515,,
4D Jackpot 3D,3032/19,26-06-2019 (Wed) Draw No: 3032/19,1st Prize 首獎 2298 | 2nd Prize 二獎 2968 | 3rd Prize 三獎 4719 | 1st Prize 首獎 809 | 2nd Prize 二獎 773 | 3rd Prize 三獎 205 | ,6997 0374   0260 1414 5429   0629   8569 3631 1736 0570,3418 6021 2188 1658 0447 7504 4302 8892 6809 0180,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,3032/19,26-06-2019 (Wed) Draw No: 3032/19,,,,"Jackpot 1 RM 503,151.83 | Jackpot 2 RM 18,095.91 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 503,151.83 Jackpot 2 RM 18,095.91 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,203/19,29-06-2019 (Sat) Draw No: 203/19,1st Prize 首獎 7216 | 2nd Prize 二獎 4311 | 3rd Prize 三獎 2530 | ,0585 0760 9607 8528 7893 ---- 6944 0486 ---- 8228 8718 ---- 0721,3435 3742 4839 0624 0185 5227 2038 2049 4787 5072,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won RM 432,739.73 | ",4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4914/19,29-06-2019 (Sat) Draw No: 4914/19,1st Prize 首獎 3156 | 2nd Prize 二獎 8792 | 3rd Prize 三獎 3856 | ,4943 9966 0956 0198 6398 4484 0278 1322 1840 7938,7405 3903 8921 8569 1995 2242 7201 0747 9380 0524,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 975,456.40 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 975,456.40"
4D Jackpot,4967/19,29-06-2019 (Sat) Draw No: 4967/19,1st 首獎 8146 Zodiac | 2nd 二獎 7851 | 3rd 三獎 3301 | ,5596 2965 **** 1552 **** 4183 6251 4902 8179 4135 **** 3542 7394,9502 8312 3799 3717 8792 9432 5684 9542 6464 1815,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 8146 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4967/19,29-06-2019 (Sat) Draw No: 4967/19,1st 83189 4th 3189 | 2nd 53526 5th 189 | 3rd 29814 6th 89 | 1st 847727 | 2nd 84772 or 47727 | 3rd 8477 or 7727 | ,,,"Jackpot 1 RM 3,692,017.09 | Jackpot 2 RM 222,356.18 | Jackpot RM 4,317,691.03 | Jackpot RM 30,028,254.37 | ","Star Toto 6/50 Jackpot 1 RM 3,692,017.09 Jackpot 2 RM 222,356.18 Power Toto 6/55 Jackpot RM 4,317,691.03 Supreme Toto 6/58 Jackpot RM 30,028,254.37 Star Toto 6/50 | Power Toto 6/55 | Supreme Toto 6/58 |"
3D,4914/19,29-06-2019 (Sat) Draw No: 4914/19,"1st 首獎 653156 OX | Bonus 1 RM 1,433,268.00 | 2nd 二獎 628792 ROOSTER | Bonus 2 RM 2,419,833.30 | 3rd 三獎 413856 SNAKE | Bonus 3 RM 234,722.10 | ",784943 849966 900956 310198 986398 534484 640278 261322 371840 257938,867405 693903 278921 648569 561995 342242 077201 970747 659380 950524,"Bonus 1 RM 1,433,268.00 | Bonus 2 RM 2,419,833.30 | Bonus 3 RM 234,722.10 | ","Bonus 1 RM 1,433,268.00 Bonus 2 RM 2,419,833.30 Bonus 3 RM 234,722.10"
Life,203/19,29-06-2019 (Sat) Draw No: 203/19,Bonus Numbers | 2nd Prize | ,,,Bonus Numbers | Grand Prize | ,Bonus Numbers Grand Prize
Jackpot,203/19,29-06-2019 (Sat) Draw No: 203/19,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 10,272,545.04 | Jackpot 2 | Prize : RM 131,377.93Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 10,272,545.04 Jackpot 2 Prize : RM 131,377.93Partially Won"
4D,4439,29-06-2019 (Sat) Draw No: 4439,1st Prize 首獎 5257 | 2nd Prize 二獎 2726 | 3rd Prize 三獎 0879 | ,3621 3733 5168 5319 5809 5830 7007 9037 9672 9686,2518 3151 3528 3705 4160 4541 5672 7941 9162 9781,,
4D,082/19,29-06-2019 (Sat) Draw No: 082/19,1st Prize 首獎 0513 | 2nd Prize 二獎 1590 | 3rd Prize 三獎 0650 | ,8156 9877 5827 3590 - 1137 7021 - 6670 9506 2250 6226 -,3282 9642 1680 4617 1190 8897 7281 8155 9706 1728,,
