date,provider,draw_info,1st,2nd,3rd,special,consolation
4D Jackpot,665/16,02-07-2016 (Sat) Draw No: 665/16,1st Prize 首獎 3415 | 2nd Prize 二獎 4837 | 3rd Prize 三獎 3613 | ,0723 ---- 4273 8283 7151 1770 7575 2896 ---- 2349 7284 2837 ----,8696 6094 2911 5645 4197 6079 9626 5698 4837 3781,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4386/16,02-07-2016 (Sat) Draw No: 4386/16,1st Prize 首獎 6216 | 2nd Prize 二獎 7133 | 3rd Prize 三獎 4490 | ,8746 4933 0524 0131 1903 4354 5651 0982 8949 3126,0821 0345 8140 5724 7874 9708 9112 3927 9747 8789,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 796,823.70 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 796,823.70"
4D Jackpot,4439/16,02-07-2016 (Sat) Draw No: 4439/16,1st 首獎 8741 Zodiac | 2nd 二獎 3184 | 3rd 三獎 3810 | ,3473 9100 8931 ---- 1883 ---- 4715 ---- 2629 7653 7233 7776 6504,9705 3123 5938 7466 5196 3380 6843 1252 6671 5927,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 8741 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4439/16,02-07-2016 (Sat) Draw No: 4439/16,1st 23668 4th 3668 | 2nd 60038 5th 668 | 3rd 42476 6th 68 | 1st 213956 | 2nd 21395 or 13956 | 3rd 2139 or 3956 | ,,,"Jackpot RM 26,479,576.76 | Jackpot RM 11,266,181.53 | Jackpot RM 29,175,831.95 | ","Power Toto 6/55 Jackpot RM 26,479,576.76 Supreme Toto 6/58 Jackpot RM 11,266,181.53 Jackpot RM 29,175,831.95 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,665/16,02-07-2016 (Sat) Draw No: 665/16,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 6,353,389.57 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 6,353,389.57 Jackpot 2 Prize : RM 100,000.00"
4D,3971,02-07-2016 (Sat) Draw No: 3971,1st Prize 首獎 4644 | 2nd Prize 二獎 9460 | 3rd Prize 三獎 2568 | ,3154 3909 4327 6393 7592 7723 7974 8382 9523 9547,1330 1701 5627 5920 6023 6448 7439 8099 8389 9287,,
4D,091/16,02-07-2016 (Sat) Draw No: 091/16,1st Prize 首獎 4217 | 2nd Prize 二獎 9060 | 3rd Prize 三獎 5530 | ,9040 5481 - 2331 0585 5890 - - 1428 9818 2015 4778 4861,0432 1772 1407 0811 1105 5312 3199 3841 5881 6440,,
https://www.live4d2u.net/images/cashsweep,3597,02-07-2016 (Sat) Draw No: 3597,1st Prize 首獎 0737 | 2nd Prize 二獎 3822 | 3rd Prize 三獎 1694 | ,砂勞越大萬 Date: 02-07-2016 (Sat) Draw No: 3597 1st Prize 首獎 0737 2nd Prize 二獎 3822 3rd Prize 三獎 1694 8187 4149 0406 9958 6194 0208 9788 4020 5793 3182,0641 0074 3501 7214 2746 8026 4672 3730 1498 7688,,
4D Jackpot 3D,2506/16,02-07-2016 (Sat) Draw No: 2506/16,1st Prize 首獎 3162 | 2nd Prize 二獎 1734 | 3rd Prize 三獎 5644 | 1st Prize 首獎 128 | 2nd Prize 二獎 361 | 3rd Prize 三獎 871 | ,6124 2694 2496   2535 2202 5702 4177 4642 4996   5414,9317 3809 9093 8744 0212 7391 6874 5573 2692 3698,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2506/16,02-07-2016 (Sat) Draw No: 2506/16,,,,"Jackpot 1 RM 1,564,400.73 | Jackpot 2 RM 7,556.42 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 1,564,400.73 Jackpot 2 RM 7,556.42 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,666/16,03-07-2016 (Sun) Draw No: 666/16,1st Prize 首獎 6037 | 2nd Prize 二獎 6345 | 3rd Prize 三獎 6551 | ,3119 7848 3880 2960 ---- 1805 3010 0238 ---- 8765 9672 7477 ----,5165 5481 5086 1618 5578 8147 2019 3787 5537 6181,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4387/16,03-07-2016 (Sun) Draw No: 4387/16,1st Prize 首獎 7711 | 2nd Prize 二獎 4099 | 3rd Prize 三獎 7132 | ,1626 2731 5574 9540 9669 6147 4573 8706 9432 4974,8178 2082 2924 8892 6614 8753 5160 9252 6581 3470,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | 3D Jackpot Prize RM 805,884.20 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 805,884.20"
4D Jackpot,4440/16,03-07-2016 (Sun) Draw No: 4440/16,1st 首獎 2464 Zodiac | 2nd 二獎 2763 | 3rd 三獎 3573 | ,8269 ---- 2970 5000 2492 6956 1051 3933 0037 ---- 7148 ---- 9821,8604 8008 7049 0231 4996 2334 0756 7785 9366 6616,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 2464 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4440/16,03-07-2016 (Sun) Draw No: 4440/16,1st 90115 4th 0115 | 2nd 96105 5th 115 | 3rd 39372 6th 15 | 1st 951302 | 2nd 95130 or 51302 | 3rd 9513 or 1302 | ,,,"Jackpot RM 26,683,837.96 | Jackpot RM 11,384,346.72 | Jackpot RM 29,339,225.18 | ","Power Toto 6/55 Jackpot RM 26,683,837.96 Supreme Toto 6/58 Jackpot RM 11,384,346.72 Jackpot RM 29,339,225.18 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,666/16,03-07-2016 (Sun) Draw No: 666/16,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 6,373,289.36 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 6,373,289.36 Jackpot 2 Prize : RM 100,000.00"
4D,3972,03-07-2016 (Sun) Draw No: 3972,1st Prize 首獎 0005 | 2nd Prize 二獎 8804 | 3rd Prize 三獎 2842 | ,2267 2267 2616 3289 3699 4025 4135 5157 5723 9697,0364 1541 1643 2127 4100 4669 6545 7798 8547 9055,,
4D,092/16,03-07-2016 (Sun) Draw No: 092/16,1st Prize 首獎 4147 | 2nd Prize 二獎 6795 | 3rd Prize 三獎 2582 | ,7749 3179 3847 4814 3587 3959 - 5445 - - 6477 1182 1191,3706 8504 3533 1386 5160 1283 2947 3549 9547 7742,,
https://www.live4d2u.net/images/cashsweep,3598,03-07-2016 (Sun) Draw No: 3598,1st Prize 首獎 2905 | 2nd Prize 二獎 6942 | 3rd Prize 三獎 2537 | ,砂勞越大萬 Date: 03-07-2016 (Sun) Draw No: 3598 1st Prize 首獎 2905 2nd Prize 二獎 6942 3rd Prize 三獎 2537 4126 8114 9049 2495 0781 9545 8131 7864 1641 3213,9164 3855 9808 0470 1192 8575 4794 7991 8784 1723,,
4D Jackpot 3D,2507/16,03-07-2016 (Sun) Draw No: 2507/16,1st Prize 首獎 1005 | 2nd Prize 二獎 2208 | 3rd Prize 三獎 6186 | 1st Prize 首獎 033 | 2nd Prize 二獎 632 | 3rd Prize 三獎 240 | ,2374 7680 3905 2196 3757 1536   9732 2009 8264 5112,6446 2579 6746 9360 2526 5750 6696 8073 4081 7726,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2507/16,03-07-2016 (Sun) Draw No: 2507/16,,,,"Jackpot 1 RM 1,570,254.82 | Jackpot 2 RM 8,434.53 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 1,570,254.82 Jackpot 2 RM 8,434.53 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,667/16,06-07-2016 (Wed) Draw No: 667/16,1st Prize 首獎 9280 | 2nd Prize 二獎 3167 | 3rd Prize 三獎 7800 | ,0245 1695 7991 1737 8737 ---- ---- 6074 4443 7793 8690 7624 ----,1545 8615 7041 7293 8079 4476 0388 7316 8073 8782,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4388/16,06-07-2016 (Wed) Draw No: 4388/16,1st Prize 首獎 5319 | 2nd Prize 二獎 4173 | 3rd Prize 三獎 7304 | ,7955 0030 5903 6477 8207 9632 0198 7049 8031 0795,4884 3702 8143 2123 9506 0124 3643 8577 2063 3846,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 815,931.40 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 815,931.40"
4D Jackpot,4441/16,06-07-2016 (Wed) Draw No: 4441/16,1st 首獎 2935 Zodiac | 2nd 二獎 5463 | 3rd 三獎 0923 | ,6640 ---- 5813 8589 1873 4338 2360 9288 ---- 2113 ---- 7752 7594,4144 0534 7879 4671 7315 7860 5123 4277 2730 6143,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 2935 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4441/16,06-07-2016 (Wed) Draw No: 4441/16,1st 49677 4th 9677 | 2nd 80218 5th 677 | 3rd 45130 6th 77 | 1st 588291 | 2nd 58829 or 88291 | 3rd 5882 or 8291 | ,,,"Jackpot RM 26,893,529.23 | Jackpot RM 11,504,992.25 | Jackpot RM 29,507,424.64 | ","Power Toto 6/55 Jackpot RM 26,893,529.23 Supreme Toto 6/58 Jackpot RM 11,504,992.25 Jackpot RM 29,507,424.64 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,667/16,06-07-2016 (Wed) Draw No: 667/16,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 6,395,248.75 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 6,395,248.75 Jackpot 2 Prize : RM 100,000.00"
4D,3973,06-07-2016 (Wed) Draw No: 3973,1st Prize 首獎 2095 | 2nd Prize 二獎 8406 | 3rd Prize 三獎 3722 | ,1952 3597 3614 7329 7955 9029 9183 9259 9676 9741,0139 2135 3564 3862 4397 4844 4858 6989 7375 9007,,
4D,093/16,06-07-2016 (Wed) Draw No: 093/16,1st Prize 首獎 8025 | 2nd Prize 二獎 1857 | 3rd Prize 三獎 9800 | ,5912 - 5715 - 0973 0682 0662 7347 4224 - 5075 0049 1568,0503 3488 6244 0718 8483 8243 8661 9813 0273 7482,,
https://www.live4d2u.net/images/cashsweep,3599,06-07-2016 (Wed) Draw No: 3599,1st Prize 首獎 6244 | 2nd Prize 二獎 0943 | 3rd Prize 三獎 2109 | ,砂勞越大萬 Date: 06-07-2016 (Wed) Draw No: 3599 1st Prize 首獎 6244 2nd Prize 二獎 0943 3rd Prize 三獎 2109 5726 0743 7405 0416 1324 7662 4431 4920 9961 2549,6725 3663 1321 0211 2281 4349 4103 6316 0302 5107,,
4D Jackpot 3D,2508/16,06-07-2016 (Wed) Draw No: 2508/16,1st Prize 首獎 1449 | 2nd Prize 二獎 0982 | 3rd Prize 三獎 6671 | 1st Prize 首獎 507 | 2nd Prize 二獎 417 | 3rd Prize 三獎 709 | ,1756   7885 6096 8630 8873 1651 4450 6588 2015 7516,3971 0257 0197 0546 8993 1444 9805 8794 8290 7060,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2508/16,06-07-2016 (Wed) Draw No: 2508/16,,,,"Jackpot 1 RM 1,576,275.45 | Jackpot 2 RM 9,337.62 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 1,576,275.45 Jackpot 2 RM 9,337.62 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,668/16,09-07-2016 (Sat) Draw No: 668/16,1st Prize 首獎 4684 | 2nd Prize 二獎 9872 | 3rd Prize 三獎 3198 | ,---- 9208 6464 8856 9270 3767 9619 ---- 9209 2622 ---- 8565 6711,5960 3908 9520 7746 4659 3373 9445 6396 2087 5390,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4389/16,09-07-2016 (Sat) Draw No: 4389/16,1st Prize 首獎 1042 | 2nd Prize 二獎 6780 | 3rd Prize 三獎 1447 | ,4930 3031 5946 9551 0914 7893 3859 2539 6674 2757,3686 9705 4939 9859 0742 4995 0850 8349 2264 2432,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 825,424.10 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 825,424.10"
4D Jackpot,4442/16,09-07-2016 (Sat) Draw No: 4442/16,1st 首獎 5793 Zodiac | 2nd 二獎 9302 | 3rd 三獎 6209 | ,---- ---- 5997 4934 1520 2594 5993 ---- 7296 1167 5054 3580 0310,6873 7634 9244 0439 0006 7022 3910 6408 5936 8156,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 5793 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4442/16,09-07-2016 (Sat) Draw No: 4442/16,1st 34955 4th 4955 | 2nd 10886 5th 955 | 3rd 88448 6th 55 | 1st 538995 | 2nd 53899 or 38995 | 3rd 5389 or 8995 | ,,,"Jackpot RM 27,101,434.79 | Jackpot RM 11,624,912.05 | Jackpot RM 29,675,438.20 | ","Power Toto 6/55 Jackpot RM 27,101,434.79 Supreme Toto 6/58 Jackpot RM 11,624,912.05 Jackpot RM 29,675,438.20 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,668/16,09-07-2016 (Sat) Draw No: 668/16,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 6,416,357.13 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 6,416,357.13 Jackpot 2 Prize : RM 100,000.00"
4D,3974,09-07-2016 (Sat) Draw No: 3974,1st Prize 首獎 5252 | 2nd Prize 二獎 2314 | 3rd Prize 三獎 4079 | ,0572 0968 2409 3331 4547 6000 7006 7297 8479 8552,0340 0930 1359 2458 3558 4970 5872 6430 8868 9110,,
4D,094/16,09-07-2016 (Sat) Draw No: 094/16,1st Prize 首獎 9263 | 2nd Prize 二獎 7283 | 3rd Prize 三獎 5689 | ,5679 - - 7264 9249 9369 5228 9080 1763 - 3706 7208 7118,1869 5489 0615 0285 7385 5243 9553 3408 9243 5517,,
https://www.live4d2u.net/images/cashsweep,3600,09-07-2016 (Sat) Draw No: 3600,1st Prize 首獎 1672 | 2nd Prize 二獎 8652 | 3rd Prize 三獎 5843 | ,砂勞越大萬 Date: 09-07-2016 (Sat) Draw No: 3600 1st Prize 首獎 1672 2nd Prize 二獎 8652 3rd Prize 三獎 5843 1129 8918 5966 8895 0089 9353 1409 1505 7329 5952,2079 7374 8845 8012 1595 5239 5292 0301 4157 5032,,
4D Jackpot 3D,2509/16,09-07-2016 (Sat) Draw No: 2509/16,1st Prize 首獎 4799 | 2nd Prize 二獎 3767 | 3rd Prize 三獎 6495 | 1st Prize 首獎 563 | 2nd Prize 二獎 903 | 3rd Prize 三獎 239 | ,0744 0280 0496 0439 0138 5647 9748 8481 5389 3906,0620 3375 1782 6373 1829 3178 7925 2167 5220 0735,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2509/16,09-07-2016 (Sat) Draw No: 2509/16,,,,"Jackpot 1 RM 1,581,989.40 | Jackpot 2 RM 10,194.71 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 1,581,989.40 Jackpot 2 RM 10,194.71 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,669/16,10-07-2016 (Sun) Draw No: 669/16,1st Prize 首獎 2217 | 2nd Prize 二獎 8338 | 3rd Prize 三獎 7662 | ,---- 1542 7862 3556 ---- 9014 9663 3072 9424 ---- 0117 2620 4045,5939 6410 1641 5182 9540 1270 3670 1794 5802 6362,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4390/16,10-07-2016 (Sun) Draw No: 4390/16,1st Prize 首獎 7927 | 2nd Prize 二獎 1244 | 3rd Prize 三獎 0408 | ,5673 9291 1400 2803 9277 6103 7558 5742 7055 0563,4639 3547 6661 9967 2503 2314 2649 4611 4567 9214,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 834,897.10 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 834,897.10"
4D Jackpot,4443/16,10-07-2016 (Sun) Draw No: 4443/16,1st 首獎 4782 Zodiac | 2nd 二獎 8878 | 3rd 三獎 1034 | ,9175 4509 6016 ---- 5566 2159 6927 9264 2517 ---- 5146 2870 ----,4456 6452 9035 7136 9794 0005 1427 3984 0699 7383,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 4782 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4443/16,10-07-2016 (Sun) Draw No: 4443/16,1st 84712 4th 4712 | 2nd 19646 5th 712 | 3rd 56514 6th 12 | 1st 978527 | 2nd 97852 or 78527 | 3rd 9785 or 8527 | ,,,"Jackpot RM 27,306,915.07 | Jackpot RM 11,743,203.80 | Jackpot RM 29,839,449.91 | ","Power Toto 6/55 Jackpot RM 27,306,915.07 Supreme Toto 6/58 Jackpot RM 11,743,203.80 Jackpot RM 29,839,449.91 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,669/16,10-07-2016 (Sun) Draw No: 669/16,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 6,435,580.95 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 6,435,580.95 Jackpot 2 Prize : RM 100,000.00"
4D,3975,10-07-2016 (Sun) Draw No: 3975,1st Prize 首獎 0501 | 2nd Prize 二獎 9898 | 3rd Prize 三獎 6783 | ,1482 1704 1741 4086 5854 6257 8565 8877 9387 9594,1502 1579 3311 4664 5340 7546 7585 8045 8990 9771,,
4D,095/16,10-07-2016 (Sun) Draw No: 095/16,1st Prize 首獎 8715 | 2nd Prize 二獎 6756 | 3rd Prize 三獎 9220 | ,6667 - 2765 - 2874 7115 - 7393 9083 7411 8455 8306 6731,8268 1456 3363 3089 6505 2807 7858 5774 8305 3060,,
https://www.live4d2u.net/images/cashsweep,3601,10-07-2016 (Sun) Draw No: 3601,1st Prize 首獎 1770 | 2nd Prize 二獎 5269 | 3rd Prize 三獎 6205 | ,砂勞越大萬 Date: 10-07-2016 (Sun) Draw No: 3601 1st Prize 首獎 1770 2nd Prize 二獎 5269 3rd Prize 三獎 6205 2609 1991 9357 4302 3785 0292 6530 3868 9839 7566,8480 3305 7854 6580 1429 8365 8044 4362 4316 2854,,
4D Jackpot 3D,2510/16,10-07-2016 (Sun) Draw No: 2510/16,1st Prize 首獎 0139 | 2nd Prize 二獎 8673 | 3rd Prize 三獎 8356 | 1st Prize 首獎 145 | 2nd Prize 二獎 182 | 3rd Prize 三獎 751 | ,3366   4236 5773 0801 6744   9154 6887 9558 3529 1128,3904 9130 8638 0496 7421 6112 4407 9190 5619 9695,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2510/16,10-07-2016 (Sun) Draw No: 2510/16,,,,"Jackpot 1 RM 509,627.26 | Jackpot 2 RM 10,888.80 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 509,627.26 Jackpot 2 RM 10,888.80 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,671/16,13-07-2016 (Wed) Draw No: 671/16,1st Prize 首獎 0315 | 2nd Prize 二獎 9164 | 3rd Prize 三獎 7255 | ,---- ---- 3018 8815 2894 6423 0233 0326 9380 ---- 5941 6547 0578,1411 4800 1887 8487 4535 7410 3480 8177 4083 1538,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4392/16,13-07-2016 (Wed) Draw No: 4392/16,1st Prize 首獎 1637 | 2nd Prize 二獎 2267 | 3rd Prize 三獎 1313 | ,0354 5652 3809 5294 6868 9832 5029 9060 5860 8897,0951 8678 4434 8831 3970 2667 0313 2801 4740 9473,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 851,779.00 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 851,779.00"
4D Jackpot,4445/16,13-07-2016 (Wed) Draw No: 4445/16,1st 首獎 3458 Zodiac | 2nd 二獎 6173 | 3rd 三獎 7167 | ,7796 8552 8425 4013 4070 ---- 9940 ---- ---- 5914 2445 5390 5688,5020 2474 2313 7721 9457 8374 0893 4246 0203 0797,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 3458 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4445/16,13-07-2016 (Wed) Draw No: 4445/16,1st 44532 4th 4532 | 2nd 83742 5th 532 | 3rd 48541 6th 32 | 1st 705456 | 2nd 70545 or 05456 | 3rd 7054 or 5456 | ,,,"Jackpot RM 26,881,811.75 | Jackpot RM 11,950,179.14 | Jackpot RM 30,127,444.77 | ","Power Toto 6/55 Jackpot RM 26,881,811.75 Supreme Toto 6/58 Jackpot RM 11,950,179.14 Jackpot RM 30,127,444.77 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,671/16,13-07-2016 (Wed) Draw No: 671/16,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 6,471,750.40 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 6,471,750.40 Jackpot 2 Prize : RM 100,000.00"
4D,3976,13-07-2016 (Wed) Draw No: 3976,1st Prize 首獎 5813 | 2nd Prize 二獎 8915 | 3rd Prize 三獎 5307 | ,2747 3099 3501 4328 5006 8337 8339 8470 9557 9634,0272 0435 2244 3591 3943 7957 8276 8793 8846 8856,,
4D,096/16,13-07-2016 (Wed) Draw No: 096/16,1st Prize 首獎 0697 | 2nd Prize 二獎 3110 | 3rd Prize 三獎 0628 | ,3589 1527 3850 9759 5098 - 0044 - - 9620 6620 4031 4718,5783 0286 1673 7142 5458 5190 1088 6474 2847 3233,,
https://www.live4d2u.net/images/cashsweep,3602,13-07-2016 (Wed) Draw No: 3602,1st Prize 首獎 1790 | 2nd Prize 二獎 7698 | 3rd Prize 三獎 2816 | ,砂勞越大萬 Date: 13-07-2016 (Wed) Draw No: 3602 1st Prize 首獎 1790 2nd Prize 二獎 7698 3rd Prize 三獎 2816 0625 6802 5997 4343 1812 2177 2996 5933 3581 9405,9595 2977 2241 6150 9986 3352 3266 8230 9882 1392,,
4D Jackpot 3D,2511/16,13-07-2016 (Wed) Draw No: 2511/16,1st Prize 首獎 6774 | 2nd Prize 二獎 7210 | 3rd Prize 三獎 9118 | 1st Prize 首獎 596 | 2nd Prize 二獎 359 | 3rd Prize 三獎 241 | ,7069 9749 8163 6300 0302 8472 3345 4978 3228 2536,6535 1812 2812 9177 3911 3387 3021 0272 2542 4307,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2511/16,13-07-2016 (Wed) Draw No: 2511/16,,,,"Jackpot 1 RM 518,070.92 | Jackpot 2 RM 11,405.35 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 518,070.92 Jackpot 2 RM 11,405.35 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,672/16,16-07-2016 (Sat) Draw No: 672/16,1st Prize 首獎 4554 | 2nd Prize 二獎 3508 | 3rd Prize 三獎 3313 | ,1780 5000 5404 ---- 6220 6392 0883 7075 7225 ---- 2662 ---- 1655,9933 4188 9533 8715 8038 3521 8781 7018 1867 8431,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4393/16,16-07-2016 (Sat) Draw No: 4393/16,1st Prize 首獎 8694 | 2nd Prize 二獎 4805 | 3rd Prize 三獎 4242 | ,6602 1251 0776 6197 4891 6540 5325 8121 3379 8620,8744 4026 5538 2359 4426 6596 2433 7998 5438 8008,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 861,281.30 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 861,281.30"
